Dataset,DR_Method,Classifier,Avg_Accuracy,Avg_Sensitivity,Avg_Specificity,Avg_Time,Best_Accuracy,Best_Dimension,Dimensions_Tested
BreastCancer,PCA,KNN,0.8204135338345864,0.9825079365079364,0.5472727272727272,0.0029717639887840825,0.8348684210526315,8,5
BreastCancer,PCA,simKNN,0.8102318295739348,0.986031746031746,0.513982683982684,0.0011258250713945931,0.8295112781954886,8,5
BreastCancer,PCA,SVM,0.9132832080200501,0.9363015873015872,0.8746320346320345,0.0012504055715145026,0.9262844611528822,1,5
BreastCancer,LDA,KNN,0.8214724310776942,0.9854285714285714,0.5453246753246753,0.005953862375782845,0.8400062656641604,1,5
BreastCancer,LDA,simKNN,0.8014661654135338,0.9832539682539683,0.4955844155844156,0.0032467838307669887,0.819047619047619,29,5
BreastCancer,LDA,SVM,0.9203007518796993,0.9463492063492064,0.8761904761904761,0.004654087481044588,0.9297932330827068,29,5
BreastCancer,MDS,KNN,0.8155200501253133,0.9803968253968254,0.5377056277056276,0.11289077246995796,0.8331140350877193,29,5
BreastCancer,MDS,simKNN,0.8179887218045112,0.9847936507936508,0.5367099567099567,0.11487317176540394,0.8400062656641604,22,5
BreastCancer,MDS,SVM,0.920281954887218,0.9492063492063492,0.8716883116883117,0.1081800552343665,0.9315162907268169,29,5
BreastCancer,Isomap,KNN,0.8176378446115289,0.9820952380952381,0.5405194805194805,0.00656590423637763,0.8383771929824562,15,5
BreastCancer,Isomap,simKNN,0.812687969924812,0.9820476190476188,0.5270995670995671,0.00386355511825485,0.8242794486215539,8,5
BreastCancer,Isomap,SVM,0.9188721804511278,0.943095238095238,0.878008658008658,0.006098817241819281,0.9332393483709274,29,5
BreastCancer,LLE,KNN,0.8186967418546367,0.9815079365079364,0.5445454545454546,0.007278553029349573,0.8243107769423558,15,5
BreastCancer,LLE,simKNN,0.8028634085213031,0.986031746031746,0.4943290043290043,0.0036918117557850696,0.8208020050125313,15,5
BreastCancer,LLE,SVM,0.9188721804511278,0.9442380952380953,0.8764069264069263,0.005450335113625778,0.9385651629072681,22,5
BreastCancer,KernelPCA,KNN,0.8144172932330827,0.9753968253968253,0.5431601731601731,0.006043733214973507,0.8206766917293233,15,5
BreastCancer,KernelPCA,simKNN,0.8099060150375939,0.9865714285714287,0.5122943722943722,0.004742771322864638,0.8207706766917292,29,5
BreastCancer,KernelPCA,SVM,0.9171177944862154,0.937936507936508,0.8818181818181816,0.00511550956501399,0.9227756892230576,22,5
BreastCancer,Autoencoder,KNN,0.640795739348371,0.782126984126984,0.4027272727272727,0.011163188250441299,0.8260964912280702,29,5
BreastCancer,Autoencoder,simKNN,0.648546365914787,0.7866190476190477,0.41554112554112554,0.009904950289499193,0.8155075187969925,29,5
BreastCancer,Autoencoder,SVM,0.7364473684210526,0.753031746031746,0.7083116883116883,0.009876818960173086,0.9297619047619048,8,5
